date;tonepr;rate_shock_abs;rate_shock_rel;close;spread;toneev;year;trans;trust
2016-01-29;-6.873474388452066;0.0;0.0;357.4;-0.16494503243462688;;2016.0;7.3;0.42
2016-03-18;-5.701132764428124;0.0;0.0;376.94;0.48400488071500547;-8.1176073556592;2016.0;7.3;0.42
2016-04-29;-4.2855226249053455;0.0;0.0;381.46;0.4361197570095676;;2016.0;7.3;0.42
2016-06-10;-5.141967837852535;-0.5;-0.045454545454545456;388.32;0.4516777801200078;-9.193270211467974;2016.0;7.3;0.42
2016-07-29;-5.153685756911096;0.0;0.0;394.68;0.20290156093647482;;2016.0;7.3;0.42
2016-09-16;-5.3945856676446935;-0.5;-0.047619047619047616;404.57;-0.3355956265045812;-10.858290964454033;2016.0;7.3;0.42
2016-10-28;-4.247185051924367;0.0;0.0;402.87;-0.24791147387439594;;2016.0;7.3;0.42
2016-12-16;-5.224522362458913;0.0;0.0;410.42;0.060931770490757486;-10.21635928922999;2016.0;7.3;0.42
2017-02-03;-5.9721028675411585;0.0;0.0;420.36;-0.07134194495348467;;2017.0;7.3;0.42
2017-03-24;-5.976451086367306;-0.25;-0.025;426.09;0.14561513212285604;-10.138329717317736;2017.0;7.3;0.42
2017-04-28;-5.210824359417417;-0.5;-0.05128205128205128;434.76;0.3294592250746575;;2017.0;7.3;0.42
2017-06-16;-7.684616045968005;-0.25;-0.02702702702702703;437.11;-0.3106514753000056;-10.174987300916666;2017.0;7.3;0.42
2017-07-28;-6.918267496173502;0.0;0.0;440.68;-0.02722693668406606;;2017.0;7.3;0.42
2017-09-15;-6.072034536617264;-0.5;-0.05555555555555555;452.18;0.06636727894422378;-9.913927689711187;2017.0;7.3;0.42
2017-10-27;-6.287036696946749;-0.25;-0.029411764705882353;456.3;-0.1970443987298509;;2017.0;7.3;0.42
2017-12-15;-5.998248009886979;-0.5;-0.06060606060606061;463.72;0.19859264826793677;-11.196960498692725;2017.0;7.3;0.42
2018-02-09;-6.40168897461733;-0.25;-0.03225806451612903;477.82;0.07955949585332078;;2018.0;8.3;0.37
2018-03-23;-5.552171264241019;-0.25;-0.03333333333333333;486.22;0.07612620857928576;-9.722331379666493;2018.0;8.3;0.37
2018-04-27;-8.344887492231209;0.0;0.0;482.16;0.08299444413646384;;2018.0;8.3;0.37
2018-06-15;-6.937044868810563;0.0;0.0;479.98;-0.3057947319102361;-10.920530030516973;2018.0;8.3;0.37
2018-07-27;-6.639924651131021;0.0;0.0;478.8;-0.10437324817678117;;2018.0;8.3;0.37
2018-09-14;-5.499105185917293;0.25;0.034482758620689655;462.11;-0.27660741569413005;-9.192992045232284;2018.0;8.3;0.37
2018-10-26;-6.2786430083184674;0.0;0.0;469.76;-0.05320450874100047;;2018.0;8.3;0.37
2018-12-14;-5.679919386241783;0.25;0.03333333333333333;473.19;-0.02324377447093795;-7.632125887131304;2018.0;8.3;0.37
2019-02-08;-5.475785033299253;0.0;0.0;489.6;-0.016338534469806376;;2019.0;8.3;0.31
2019-03-22;-5.7346427736625945;0.0;0.0;495.46;-0.19357186348356592;-10.016770691126686;2019.0;8.3;0.31
2019-04-26;-6.678236802449574;0.0;0.0;497.51;0.044229996700195784;;2019.0;8.3;0.31
2019-06-14;-6.502453963007931;-0.25;-0.03225806451612903;514.99;0.13407302186161374;-9.733010654624428;2019.0;8.3;0.31
2019-07-26;-5.605500660743724;-0.25;-0.03333333333333333;529.16;-0.1699364091667377;;2019.0;8.3;0.31
2019-09-06;-6.1386284035321;-0.25;-0.034482758620689655;539.9;0.0481686653624358;-10.698152053449343;2019.0;8.3;0.31
2019-10-25;-5.659736793525415;-0.5;-0.07142857142857142;560.71;0.33048432591193944;;2019.0;8.3;0.31
2019-12-13;-5.856208063622333;-0.25;-0.038461538461538464;568.37;0.17785922116209107;-9.722331379666493;2019.0;8.3;0.31
2020-02-07;-5.802286649755642;-0.25;-0.04;580.85;0.1481685946964184;-9.915323569061155;2020.0;9.3;0.33
2020-03-20;-7.266085381653717;0.0;0.0;542.73;2.0852318485840904;-10.205676920261244;2020.0;9.3;0.33
2020-04-24;-5.782680159706497;-0.5;-0.08333333333333333;592.33;0.3551620564624436;-9.803209180032225;2020.0;9.3;0.33
2020-06-19;-6.434003367385446;-1.0;-0.18181818181818182;616.36;0.2940915752662754;-9.963173466248813;2020.0;9.3;0.33
2020-07-24;-5.680871983653693;-0.25;-0.05555555555555555;613.71;-0.12701516118927003;-9.705252163864218;2020.0;9.3;0.33
2020-09-18;-5.744939403606884;0.0;0.0;608.71;-0.014784272846046775;-10.967771002417372;2020.0;9.3;0.33
2020-10-23;-5.745142552313896;0.0;0.0;616.07;0.06170033319072843;-9.921480153055429;2020.0;9.3;0.33
2020-12-18;-5.594341555113335;0.0;0.0;621.25;-0.11422045787767843;-11.264777825907192;2020.0;9.3;0.33
2021-02-12;-5.820539028880425;0.0;0.0;611.04;-0.4050439979398135;-9.069334875552832;2021.0;9.8;0.32
2021-03-19;-5.35674170552608;0.25;0.058823529411764705;599.58;-0.33633625338769235;-10.470124590598552;2021.0;9.8;0.32
2021-04-23;-5.530048451384542;0.5;0.1111111111111111;604.38;0.03806277093278965;-10.174987300916666;2021.0;9.8;0.32
2021-06-11;-4.922596202198059;0.5;0.1;604.36;0.42448826756960045;-9.196092175684607;2021.0;9.8;0.32
2021-07-23;-5.530025961481919;1.0;0.18181818181818182;611.02;0.0851398309338336;-10.152931560437057;2021.0;9.8;0.32
2021-09-10;-5.912915441521447;0.25;0.038461538461538464;613.79;0.06355984209935883;-10.814859030199935;2021.0;9.8;0.32
2021-10-22;-5.860373883757887;0.75;0.1111111111111111;597.62;-0.8165759373879311;-11.27328322686143;2021.0;9.8;0.32
2021-12-17;-6.725061219611949;1.0;0.13333333333333333;584.4;0.16954816916436855;-10.478622411220408;2021.0;9.8;0.32
